a,b,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
대운로또복권,경남 양산시 물금로 183 102호 복권판매점,경남 양산시 물금로 183 102호 복권판매점,128.9998834,35.3193129,정좌표,4.83303E+18,새주소,경상남도 양산시 물금읍 물금로 183,경상남도 양산시 물금읍 가촌리 1259-14,50613,4833025300,물금읍,4833025323,물금읍 가촌리
대박가판장,서울 강동구 양재대로 1627 가판점,서울 강동구 양재대로 1627 가판점,127.1437054,37.5509613,정좌표,1.17401E+18,새주소,서울특별시 강동구 양재대로 1627,서울특별시 강동구 명일동 312-92,5257,1174053000,명일1동,1174010100,명일동
삼익마트,서울 강동구 상암로 211 1층,서울 강동구 상암로 211 1층,127.1461652,37.5466451,정좌표,1.17401E+18,새주소,서울특별시 강동구 상암로 211,서울특별시 강동구 명일동 341-5,5294,1174053000,명일1동,1174010100,명일동
찐대박복권,서울 동작구 신대방길 96 1층 2호,서울 동작구 신대방길 96 1층 2호,126.9091634,37.4898653,정좌표,1.15901E+18,새주소,서울특별시 동작구 신대방길 96,서울특별시 동작구 신대방동 591-74,7068,1159067000,신대방1동,1159010900,신대방동
한양복권,서울 성동구 용답중앙길 78-1,서울 성동구 용답중앙길 78-1,127.0539227,37.5628186,정좌표,1.12001E+18,새주소,서울특별시 성동구 용답중앙길 78-1,서울특별시 성동구 용답동 44-4,4805,1120079000,용답동,1120012200,용답동
하이오 구서점,부산 금정구 금정로233번길 39 하이오 커피샵,부산 금정구 금정로233번길 39 하이오 커피샵,129.0909098,35.2463355,정좌표,2.64101E+18,새주소,부산광역시 금정구 금정로233번길 39,부산광역시 금정구 구서동 415-112,46243,2641068000,구서1동,2641010700,구서동
복권전문점,인천 부평구 원적로 437,인천 부평구 원적로 437,126.7151443,37.5037454,정좌표,2.82371E+18,새주소,인천광역시 부평구 원적로 437,인천광역시 부평구 청천동 236-20,21364,2823759200,청천2동,2823710400,청천동
진 복권판매점,대전 서구 계백로1286번길 32,대전 서구 계백로1286번길 32,127.3661685,36.3065804,정좌표,3.01701E+18,새주소,대전광역시 서구 계백로1286번길 32,대전광역시 서구 정림동 551,35394,3017053500,정림동,3017010400,정림동
진플러스,대전 중구 대종로 301-1,대전 중구 대종로 301-1,127.4350492,36.3128019,정좌표,3.01401E+18,새주소,대전광역시 중구 대종로 301-1,대전광역시 중구 부사동 153-20,35048,3014064000,부사동,3014011100,부사동
지니복권,경기 안산시 단원구 광덕1로 61 106호,경기 안산시 단원구 광덕1로 61 106호,126.8163618,37.3087983,정좌표,4.12731E+18,새주소,경기도 안산시 단원구 광덕1로 61,경기도 안산시 단원구 초지동 729-1,15445,4127357000,초지동,4127310700,초지동
신바람,경기 평택시 서해로 1979 101호,경기 평택시 서해로 1979 101호,126.9182696,37.0625421,정좌표,4.12203E+18,새주소,경기도 평택시 청북읍 서해로 1979,경기도 평택시 청북읍 고렴리 663-9,17794,4122025900,청북읍,4122025932,청북읍 고렴리
오창중앙복권,충북 청주시 청원구 중심상업로 47 103호,충북 청주시 청원구 중심상업로 47 103호,127.42895,36.7150782,정좌표,4.31143E+18,새주소,충청북도 청주시 청원구 오창읍 중심상업로 47,충청북도 청주시 청원구 오창읍 양청리 792-1,28120,4311425300,오창읍,4311425345,오창읍 양청리
에코시티복권판매점,전북 전주시 덕진구 세병로 8 106호,전북 전주시 덕진구 세병로 8 106호,127.1268509,35.8755014,정좌표,5.21131E+18,새주소,전북특별자치도 전주시 덕진구 세병로 8,전북특별자치도 전주시 덕진구 송천동2가 1325-1,55149,5211364100,송천1동,5211312200,송천동2가
돈벼락,부산 사하구 장평로 134 1층,부산 사하구 장평로 134 1층,128.973004,35.0779598,정좌표,2.63801E+18,새주소,부산광역시 사하구 장평로 134,부산광역시 사하구 장림동 348-50,49467,2638059000,장림2동,2638010500,장림동
새희망복권,인천 부평구 길주로 497 청천동 1층,인천 부평구 길주로 497 청천동 1층,126.7174486,37.5078791,정좌표,2.82371E+18,새주소,인천광역시 부평구 길주로 497,인천광역시 부평구 청천동 199-25,21334,2823759200,청천2동,2823710400,청천동
금돼지로또방,울산 동구 문재로 53,울산 동구 문재로 53,129.4202927,35.4857506,정좌표,3.11701E+18,새주소,울산광역시 동구 문재로 53,울산광역시 동구 방어동 288-5,44096,3117051000,방어동,3117010100,방어동
