a,b,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
두꺼비로또판매점,서울 관악구 봉천동  1630-1번지,서울 관악구 봉천동  1630-1번지,126.962039,37.4767989,정좌표,1.16201E+18,구주소,서울특별시 관악구 봉천로 582,서울특별시 관악구 봉천동 1630-1,8793,1162062500,인헌동,1162010100,봉천동
엔타임편의점(대승복권),부산 해운대구 좌동  1479-3번지 세종월드프라자 137 엔타임편의점내,부산 해운대구 좌동  1479-3번지 세종월드프라자 137 엔타임편의점내,129.1778556,35.1695983,정좌표,2.63501E+18,구주소,부산광역시 해운대구 해운대로 814,부산광역시 해운대구 좌동 1479-3,48111,2635055200,좌2동,2635010700,좌동
GS25(성북장위),서울 성북구  장위동 66-9번지청마빌딩1층,서울 성북구  장위동 66-9번지청마빌딩1층,127.0545478,37.6118491,정좌표,1.12901E+18,구주소,서울특별시 성북구 화랑로33길 39,서울특별시 성북구 장위동 66-9,2771,1129077000,장위2동,1129013800,장위동
상암DMC빌점,서울 마포구 상암동  1584번지 상암동DMC빌상가 104호,서울 마포구 상암동  1584번지 상암동DMC빌상가 104호,126.8851091,37.5827445,정좌표,1.14401E+18,구주소,서울특별시 마포구 월드컵북로60길 13,서울특별시 마포구 상암동 1584,3921,1144074000,상암동,1144012700,상암동
훼미리마트인천선학점,인천 연수구 봉재산로 20 상가동 107호,인천 연수구 봉재산로 20 상가동 107호,126.6650829,37.409898,정좌표,2.81851E+18,새주소,인천광역시 연수구 봉재산로 20,인천광역시 연수구 동춘동 1131-1,21970,2818578000,동춘1동,2818510500,동춘동
대야지복권,광주 남구 회재로 1255-1,광주 남구 회재로 1255-1,126.8979749,35.1346982,정좌표,2.91551E+18,새주소,광주광역시 남구 회재로 1255-1,광주광역시 남구 주월동 961-24,61616,2915570000,주월2동,2915510600,주월동
로또판매점(복권방),경기 군포시 당동  921-5번지 금강프라자1-110호,경기 군포시 당동  921-5번지 금강프라자1-110호,126.9443767,37.3465659,정좌표,4.14101E+18,구주소,경기도 군포시 고산로 256,경기도 군포시 당동 921-5,15856,4141052000,군포2동,4141010100,당동
미소로또,경기 남양주시 가운로1길 17 마이라이프 오피스텔,경기 남양주시 가운로1길 17 마이라이프 오피스텔,127.1570103,37.6045612,정좌표,4.13601E+18,새주소,경기도 남양주시 가운로1길 17,경기도 남양주시 다산동 667-3,12262,4136056500,다산2동,4136011200,다산동
행운슈퍼 복권사는날,경기 부천시 경인로 148,경기 부천시 경인로 148,126.771795,37.4837235,정좌표,4119,새주소,경기도 부천시 송내동 경인로 148,경기도 부천시 송내동,14725,4119460000,송내2동,,송내동
GS25(수원황골),경기 수원시 영통구 영통동 945-7번지,경기 수원시 영통구 영통동 945-7번지,127.0816258,37.2662982,정좌표,4.11171E+18,구주소,경기도 수원시 영통구 봉영로 1761,경기도 수원시 영통구 영통동 945-7,16712,4111757000,영통1동,4111710500,영통동
CU(원주명륜점),강원 원주시  명륜동 751번지,강원 원주시  명륜동 751번지,127.9418383,37.333077,정좌표,5.11301E+18,구주소,강원특별자치도 원주시 예술관길 28,강원특별자치도 원주시 명륜동 751,26479,5113054200,명륜2동,5113010600,명륜동
오렌지25,경기 고양시 일산서구 고봉로 291 양우에이스스타디움109,경기 고양시 일산서구 고봉로 291 양우에이스스타디움109,126.7772316,37.6852564,정좌표,4.12871E+18,새주소,경기도 고양시 일산서구 고봉로 291,경기도 고양시 일산서구 일산동 555-1,10340,4128752000,일산2동,4128710100,일산동
한솔복권방,전남 목포시 남교동  34-1번지 한솔복권방,전남 목포시 남교동  34-1번지 한솔복권방,126.3801455,34.7940244,정좌표,4.61101E+18,구주소,전라남도 목포시 수문로 62,전라남도 목포시 남교동 34-1,58724,4611059500,목원동,4611010700,남교동
찬스365,경기 양평군 양서면  양수리  562-6번지,경기 양평군 양서면  양수리  562-6번지,127.3180604,37.5447894,정좌표,4.18303E+18,구주소,경기도 양평군 양서면 양수로 163,경기도 양평군 양서면 양수리 562-6,12585,4183033000,양서면,4183033021,양서면 양수리
화성슈퍼,경남 창원시 의창구 남산로17번길 33,경남 창원시 의창구 남산로17번길 33,128.6149579,35.2608763,정좌표,4.81211E+18,새주소,경상남도 창원시 의창구 남산로17번길 33,경상남도 창원시 의창구 팔용동 194-14,51367,4812152000,팔룡동,4812112900,팔용동
파워마트 복권나라,광주 북구 서하로 117 101호 (매곡동),광주 북구 서하로 117 101호 (매곡동),126.8933747,35.1875674,정좌표,2.91701E+18,새주소,광주광역시 북구 서하로 117,광주광역시 북구 매곡동 33-15,61061,2917067300,매곡동,2917011700,매곡동
현대25편의점,경기 고양시 일산서구 미래로 164,경기 고양시 일산서구 미래로 164,126.7468626,37.6931187,정좌표,4.12871E+18,새주소,경기도 고양시 일산서구 미래로 164,경기도 고양시 일산서구 덕이동 548,10236,4128760000,덕이동,4128710500,덕이동
성서제일복권,대구 달서구 성서동로 320 1층,대구 달서구 성서동로 320 1층,128.5160011,35.8492649,정좌표,2.72901E+18,새주소,대구광역시 달서구 성서동로 320,대구광역시 달서구 장기동 150-1,42698,2729056800,장기동,2729011000,장기동
대광광고사,대전 유성구 구즉로 54,대전 유성구 구즉로 54,127.3850548,36.4338442,정좌표,3.02001E+18,새주소,대전광역시 유성구 구즉로 54,대전광역시 유성구 송강동 195-17,34009,3020058000,구즉동,3020014700,송강동
로또가게,경기 용인시 처인구 경기동로706번길 1,경기 용인시 처인구 경기동로706번길 1,127.1978806,37.1382848,정좌표,4.14613E+18,새주소,경기도 용인시 처인구 이동면 경기동로706번길 1,경기도 용인시 처인구 이동면 송전리 609,17136,4146125600,이동읍,4146133021,이동면 송전리
CU로또(구미고아점),경북 구미시 고아읍  관심리  668-9번지 CU편의점 내,경북 구미시 고아읍  관심리  668-9번지 CU편의점 내,128.3302158,36.2093229,정좌표,4.71903E+18,구주소,경상북도 구미시 고아읍 선산대로 960,경상북도 구미시 고아읍 관심리 668-9,39142,4719025300,고아읍,4719025321,고아읍 관심리
성모마트,서울 강남구 역삼동  813번지,서울 강남구 역삼동  813번지,127.0263603,37.5028102,정좌표,1.16801E+18,구주소,서울특별시 강남구 봉은사로2길 31,서울특별시 강남구 역삼동 813,6123,1168064000,역삼1동,1168010100,역삼동
동원슈퍼,광주 남구 대남대로 277-1,광주 남구 대남대로 277-1,126.8966261,35.1370746,정좌표,2.91551E+18,새주소,광주광역시 남구 대남대로 277-1,광주광역시 남구 월산동 1053-22,61615,2915564000,월산5동,2915510400,월산동
서구연희로또,인천 서구 가정로 382 1층 120호,인천 서구 가정로 382 1층 120호,126.6733574,37.5189342,정좌표,2.82601E+18,새주소,인천광역시 서구 가정로 382,인천광역시 서구 가정동 504-7,22777,2826054200,가정1동,2826010800,가정동
buy the way (반포공원점),서울 서초구 반포동  709-8번지,서울 서초구 반포동  709-8번지,127.0203387,37.5092299,정좌표,1.16501E+18,구주소,서울특별시 서초구 사평대로55길 123,서울특별시 서초구 반포동 709-8,6534,1165056000,반포1동,1165010700,반포동
가락하단,부산 사하구 하단동  885-9번지 세븐일레븐,부산 사하구 하단동  885-9번지 세븐일레븐,128.9590448,35.108818,정좌표,2.63801E+18,구주소,부산광역시 사하구 하신번영로 312,부산광역시 사하구 하단동 885-9,49306,2638056200,하단2동,2638010300,하단동
각골할인마트,경기 안산시 상록구 각골로 37,경기 안산시 상록구 각골로 37,126.8722941,37.2927378,정좌표,4.12711E+18,새주소,경기도 안산시 상록구 각골로 37,경기도 안산시 상록구 본오동 829-9,15556,4127154000,본오1동,4127110400,본오동
CU(횡성점),강원 횡성군  횡성읍 읍하리118-1번지,강원 횡성군  횡성읍 읍하리118-1번지,127.9856843,37.4888271,정좌표,5.17303E+18,구주소,,강원특별자치도 횡성군 횡성읍 읍하리 118-1,25233,5173025000,횡성읍,5173025022,횡성읍 읍하리
현대복권방,충북 청주시 청원구 향군로 140-1,충북 청주시 청원구 향군로 140-1,127.4800383,36.6568426,정좌표,4.31141E+18,새주소,충청북도 청주시 청원구 향군로 140-1,충청북도 청주시 청원구 내덕동 656-36,28481,4311452000,내덕1동,4311410200,내덕동
애니타임로또,대전 유성구 계룡로46번길 85,대전 유성구 계룡로46번길 85,127.3345309,36.3514888,정좌표,3.02001E+18,새주소,대전광역시 유성구 계룡로46번길 85,대전광역시 유성구 구암동 608-20,34177,3020053000,온천1동,3020011200,구암동
로또박사,경기 의정부시 신곡동  760-2번지 세명프라자1층,경기 의정부시 신곡동  760-2번지 세명프라자1층,127.0693777,37.7495086,정좌표,4.11501E+18,구주소,경기도 의정부시 장곡로596번길 9,경기도 의정부시 신곡동 760-2,11775,4115056800,신곡2동,4115010400,신곡동
Let'sgo복권유통,전북 전주시 덕진구 무삼지로 29,전북 전주시 덕진구 무삼지로 29,127.164667,35.8281995,정좌표,5.21131E+18,새주소,전북특별자치도 전주시 덕진구 무삼지로 29,전북특별자치도 전주시 덕진구 인후동1가 904-1,55024,5211356000,인후3동,5211310300,인후동1가
버스표거리판매점,경기 수원시 장안구 조원동  768-10번지,경기 수원시 장안구 조원동  768-10번지,127.0160031,37.2987505,정좌표,4.11111E+18,구주소,경기도 수원시 장안구 송정로 179,경기도 수원시 장안구 조원동 768-10,16286,4111159700,조원1동,4111113600,조원동
인생역전로또,충북 청주시 상당구 용암동 1795번지,충북 청주시 상당구 용암동 1795번지,127.5050378,36.606076,정좌표,4.31111E+18,구주소,충청북도 청주시 상당구 무농정로15번길 2,충청북도 청주시 상당구 용암동 1795,28782,4311173000,용암2동,4311112400,용암동
CU(포항오거리),경북 포항시 북구 죽도동 42-17번지,경북 포항시 북구 죽도동 42-17번지,129.3646823,36.0338401,정좌표,4.71131E+18,구주소,경상북도 포항시 북구 죽도로 33,경상북도 포항시 북구 죽도동 42-17,37739,4711365500,죽도동,4711311600,죽도동
GS25(노형대림점),제주 제주시  노형동 2511-5번지성림미래안아파트1층102호,제주 제주시  노형동 2511-5번지성림미래안아파트1층102호,126.4702534,33.4840097,정좌표,5.01101E+18,구주소,제주특별자치도 제주시 수덕로 75,제주특별자치도 제주시 노형동 2511-5,63103,5011066000,노형동,5011012200,노형동
삼덕상회,부산 금정구  구서1동 409-11번지하프타임 편의점 내,부산 금정구  구서1동 409-11번지하프타임 편의점 내,129.0887317,35.246968,정좌표,2.64101E+18,구주소,부산광역시 금정구 금강로 441,부산광역시 금정구 구서동 409-11,46242,2641068000,구서1동,2641010700,구서동
강화상회,인천 강화군 강화읍  갑곳리  846-1번지 102호,인천 강화군 강화읍  갑곳리  846-1번지 102호,126.4933576,37.7419308,정좌표,2.87103E+18,구주소,인천광역시 강화군 강화읍 강화대로 327,인천광역시 강화군 강화읍 갑곳리 846-1,23027,2871025000,강화읍,2871025025,강화읍 갑곳리
천하명당우만점,경기 수원시 팔달구 월드컵로369번길 4,경기 수원시 팔달구 월드컵로369번길 4,127.0301218,37.2901987,정좌표,4.11151E+18,새주소,경기도 수원시 팔달구 월드컵로369번길 4,경기도 수원시 팔달구 우만동 466-5,16232,4111571000,우만1동,4111514000,우만동
준마트,경기 고양시 덕양구 향기로 136 1층 101호,경기 고양시 덕양구 향기로 136 1층 101호,126.8955474,37.6011695,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 향기로 136,경기도 고양시 덕양구 향동동 508,10546,4128166000,화전동,4128113200,향동동
로또부자세상,강원 원주시 천사로 286 1층,강원 원주시 천사로 286 1층,127.9546225,37.354538,정좌표,5.11301E+18,새주소,강원특별자치도 원주시 천사로 286,강원특별자치도 원주시 태장동 778-28,26327,5113061000,태장1동,5113011200,태장동
이효민나눔로또,경남 거제시 능포로 164 1층,경남 거제시 능포로 164 1층,128.7330757,34.877959,정좌표,4.83101E+18,새주소,경상남도 거제시 능포로 164,경상남도 거제시 능포동 376-6,53314,4831053000,능포동,4831010100,능포동
대우할인매장,경남 창원시 성산구 정동로162번길 74 대운상가1층109,경남 창원시 성산구 정동로162번길 74 대운상가1층109,128.6979124,35.2007803,정좌표,4.81231E+18,새주소,경상남도 창원시 성산구 정동로162번길 74,경상남도 창원시 성산구 남산동 601-25,51537,4812356000,성주동,4812310600,남산동
뚜레쥬르화곡역점,서울 강서구  우장산동 1052-9번지,서울 강서구  우장산동 1052-9번지,126.8399364,37.5425019,정좌표,1.15001E+18,구주소,서울특별시 강서구 강서로 178,서울특별시 강서구 화곡동 1052-9,7702,1150061500,우장산동,1150010300,화곡동
동성복권방,울산 동구 서부동  315-2번지,울산 동구 서부동  315-2번지,129.4253026,35.5404002,정좌표,3.11701E+18,구주소,울산광역시 동구 동해안로 10,울산광역시 동구 서부동 315-2,44012,3117058000,남목1동,3117010800,서부동
GS25(민락중앙),부산 수영구  민락동 181-82번지1층,부산 수영구  민락동 181-82번지1층,129.1249758,35.1558681,정좌표,2.65001E+18,구주소,부산광역시 수영구 광안해변로 286,부산광역시 수영구 민락동 181-82,48283,2650080000,민락동,2650010300,민락동
재우텔레콤,경기 하남시 신평로 74,경기 하남시 신평로 74,127.2061131,37.539909,정좌표,4.14501E+18,새주소,경기도 하남시 신평로 74,경기도 하남시 신장동 427-29,12957,4145052000,신장1동,4145010600,신장동
양평점로또판매,서울 영등포구 양평동4가  197-1번지,서울 영등포구 양평동4가  197-1번지,126.89551,37.5377727,정좌표,1.15601E+18,구주소,서울특별시 영등포구 양평로20길 5,서울특별시 영등포구 양평동4가 197-1,7206,1156062000,양평2동,1156012800,양평동4가
GS25(대구교대),대구 남구  대명동 2007-6번지,대구 남구  대명동 2007-6번지,128.5908968,35.8525613,정좌표,2.72001E+18,구주소,대구광역시 남구 중앙대로 216,대구광역시 남구 대명동 2007-6,42424,2720057100,대명2동,2720010300,대명동
베스트올원당,인천 서구 원당동  824-2골든벨프라자102호,인천 서구 원당동  824-2골든벨프라자102호,126.6950776,37.5941496,정좌표,2.82601E+18,구주소,인천광역시 서구 원당대로 841,인천광역시 서구 원당동 824-2,22647,2826070000,원당동,2826011500,원당동
25시 스토리,인천 서구 가정로 246 1층 111호,인천 서구 가정로 246 1층 111호,126.672522,37.506707,정좌표,2.82601E+18,새주소,인천광역시 서구 가정로 246,인천광역시 서구 석남동 510-6,22790,2826055000,석남1동,2826011000,석남동
토토복권방(병영점),울산 중구 병영로 11,울산 중구 병영로 11,129.3459542,35.5702977,정좌표,3.11101E+18,새주소,울산광역시 중구 병영로 11,울산광역시 중구 남외동 243-2,44493,3111062000,병영1동,3111011500,남외동
평촌3호점로또판매,경기 안양시 동안구 관양동 1604 1604번지,경기 안양시 동안구 관양동 1604 1604번지,126.9626563,37.393619,정좌표,4.11731E+18,구주소,경기도 안양시 동안구 관평로182번길 42,경기도 안양시 동안구 관양동 1604,14066,4117355200,관양동,4117310200,관양동
GS25(구로제일),서울 구로구  구로동 685-215번지103호,서울 구로구  구로동 685-215번지103호,126.8758067,37.4920304,정좌표,1.15301E+18,구주소,서울특별시 구로구 구일로4길 33,서울특별시 구로구 구로동 685-215,8324,1153052000,구로1동,1153010200,구로동
금강종합공구,경기 김포시 대곶면  율생리  350-5번지,경기 김포시 대곶면  율생리  350-5번지,126.5906903,37.6528023,정좌표,4.15703E+18,구주소,경기도 김포시 대곶면 율생로 3,경기도 김포시 대곶면 율생리 350-5,10039,4157034000,대곶면,4157034025,대곶면 율생리
버스표가두판매점,경기 수원시 팔달구 중부대로 171-2 가로판매대11,경기 수원시 팔달구 중부대로 171-2 가로판매대11,127.0350982,37.2776152,정좌표,4.11151E+18,새주소,경기도 수원시 팔달구 중부대로 171-2,경기도 수원시 팔달구 우만동 447,16494,4111572000,우만2동,4111514000,우만동
동서복권,서울 송파구 문정동  53-9번지,서울 송파구 문정동  53-9번지,127.1221624,37.4887206,정좌표,1.17101E+18,구주소,서울특별시 송파구 동남로2길 4,서울특별시 송파구 문정동 53-9,5805,1171064100,문정1동,1171010800,문정동
로또일도점,대구 북구 학정로 421 일도프라자101호,대구 북구 학정로 421 일도프라자101호,128.5630907,35.9423846,정좌표,2.72301E+18,새주소,대구광역시 북구 학정로 421,대구광역시 북구 동천동 912-1,41423,2723078000,동천동,2723012400,동천동
구월슈퍼,인천 남동구 문화로145번길 13,인천 남동구 문화로145번길 13,126.6989991,37.4519309,정좌표,2.82001E+18,새주소,인천광역시 남동구 문화로145번길 13,인천광역시 남동구 구월동 1110-1,21559,2820052100,구월3동,2820010100,구월동
개그스토리마트 동백점,경기 용인시 기흥구 평촌1로1번길 7 101호 마실,경기 용인시 기흥구 평촌1로1번길 7 101호 마실,127.153522,37.2835583,정좌표,4.14631E+18,새주소,경기도 용인시 기흥구 평촌1로1번길 7,경기도 용인시 기흥구 동백동 614-5,17001,4146357200,동백1동,4146311500,동백동
동부슈퍼로또,충남 보령시 중앙로 178 동부아파트상가107호,충남 보령시 중앙로 178 동부아파트상가107호,126.585223,36.354501,정좌표,4.41801E+18,새주소,충청남도 보령시 중앙로 178,충청남도 보령시 대천동 372-1,33452,4418052500,대천2동,4418010100,대천동
복권천지,전남 여수시 흥국로 79,전남 여수시 흥국로 79,127.671185,34.7620265,정좌표,4.61301E+18,새주소,전라남도 여수시 흥국로 79,전라남도 여수시 신기동 51-16,59680,4613079000,시전동,4613013300,신기동
인더라인25,서울 마포구 월드컵북로54길 17 132호,서울 마포구 월드컵북로54길 17 132호,126.8885494,37.5813263,정좌표,1.14401E+18,새주소,서울특별시 마포구 월드컵북로54길 17,서울특별시 마포구 상암동 1597,3924,1144074000,상암동,1144012700,상암동
로또복권편의점,광주 광산구 송정동  890-3번지T월드 이동통신내,광주 광산구 송정동  890-3번지T월드 이동통신내,126.7973045,35.1352643,정좌표,2.92001E+18,구주소,광주광역시 광산구 송도로 239,광주광역시 광산구 송정동 890-3,62435,2920052500,송정2동,2920010100,송정동
GS25(하안연서),경기 광명시  하안동 30-1번지중앙상가104호,경기 광명시  하안동 30-1번지중앙상가104호,126.8774692,37.4655646,정좌표,4.12101E+18,구주소,경기도 광명시 안현로 52,경기도 광명시 하안동 30-1,14247,4121063400,하안4동,4121010300,하안동
영로또,충북 음성군 사예2길 24 1층 106호,충북 음성군 사예2길 24 1층 106호,127.5448356,36.9124496,정좌표,4.37703E+18,새주소,충청북도 음성군 맹동면 사예2길 24,충청북도 음성군 맹동면 동성리 456,27738,4377033000,맹동면,4377033031,맹동면 동성리
라이프25시,경북 구미시  구포동 536-2번지GS25편의점 내,경북 구미시  구포동 536-2번지GS25편의점 내,128.4174236,36.1307473,정좌표,4.71901E+18,구주소,경상북도 구미시 옥계2공단로 280-2,경상북도 구미시 구포동 536-2,39421,4719069000,양포동,4719012900,구포동
신동아로또판매점,서울 동작구 상도동  17-62번지,서울 동작구 상도동  17-62번지,126.9475505,37.506207,정좌표,1.15901E+18,구주소,서울특별시 동작구 만양로 20,서울특별시 동작구 상도동 17-62,6919,1159054000,상도2동,1159010200,상도동
GS25(성애병원),서울 영등포구 신길동 467-3,서울 영등포구 신길동 467-3,126.9217224,37.5121642,정좌표,1.15601E+18,구주소,서울특별시 영등포구 여의대방로53길 28,서울특별시 영등포구 신길동 467-3,7353,1156063000,신길1동,1156013200,신길동
예스24,경기 고양시 덕양구 화정동  977번지 밀레니엄타워105,경기 고양시 덕양구 화정동  977번지 밀레니엄타워105,126.8330834,37.6321491,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 화신로260번길 36,경기도 고양시 덕양구 화정동 977,10500,4128162200,화정2동,4128112300,화정동
탑훼미리마트,부산 해운대구 중동  1392-90번지,부산 해운대구 중동  1392-90번지,129.1613439,35.1609603,정좌표,2.63501E+18,구주소,부산광역시 해운대구 구남로 37,부산광역시 해운대구 중동 1392-90,48095,2635053000,중1동,2635010600,중동
경북윤업사,대구 남구 대명로 161,대구 남구 대명로 161,128.5754345,35.8393419,정좌표,2.72001E+18,새주소,대구광역시 남구 대명로 161,대구광역시 남구 대명동 810-4,42474,2720065000,대명10동,2720010300,대명동
로또복권사업장,인천 남구  주안동 235번지주안역지하상가철28호,인천 남구  주안동 235번지주안역지하상가철28호,126.6804365,37.4644295,정좌표,2.81771E+18,구주소,인천광역시 미추홀구 주안로 91-1,인천광역시 미추홀구 주안동 235,22132,2817762000,주안1동,2817710500,주안동
복권방(행운열차),울산 중구 다운로 114,울산 중구 다운로 114,129.2672638,35.563093,정좌표,3.11101E+18,새주소,울산광역시 중구 다운로 114,울산광역시 중구 다운동 776-4,44402,3111061000,다운동,3111011200,다운동
경방필백화점라이츠21호,서울 은평구  갈현동 396-11번지,서울 은평구  갈현동 396-11번지,126.9203807,37.6193117,정좌표,1.13801E+18,구주소,서울특별시 은평구 통일로 855-4,서울특별시 은평구 갈현동 396-11,3330,1138055100,갈현1동,1138010400,갈현동
대진,대구 동구 율하동  1230번지 훼미리마트,대구 동구 율하동  1230번지 훼미리마트,128.6960766,35.865698,정좌표,2.71401E+18,구주소,대구광역시 동구 안심로22길 16,대구광역시 동구 율하동 1230,41098,2714072000,안심1동,2714011800,율하동
CU(도화향기점),인천 남구  도화동 119-44번지,인천 남구  도화동 119-44번지,126.6718745,37.4679107,정좌표,2.81771E+18,구주소,인천광역시 미추홀구 석정로 327,인천광역시 미추홀구 도화동 119-44,22116,2817761000,도화2.3동,2817710400,도화동
1등로또복권방,경기 의정부시 용현동  266-10번지,경기 의정부시 용현동  266-10번지,127.0800697,37.7346176,정좌표,4.11501E+18,구주소,경기도 의정부시 용민로 9,경기도 의정부시 용현동 266-10,11785,4115057300,송산1동,4115010500,용현동
로또명당 청원점,충북 청주시 청원구 오창읍 각리 651-3번지 금일프라자 102호,충북 청주시 청원구 오창읍 각리 651-3번지 금일프라자 102호,127.4166773,36.7082597,정좌표,4.31143E+18,구주소,충청북도 청주시 청원구 오창읍 과학산업5로 108-9,충청북도 청주시 청원구 오창읍 각리 651-3,28123,4311425300,오창읍,4311425344,오창읍 각리
열린서점,전남 목포시 삼각로43번길 10 열린서점,전남 목포시 삼각로43번길 10 열린서점,126.4183169,34.8046219,정좌표,4.61102E+18,새주소,전라남도 목포시 삼각로43번길 10,전라남도 목포시 상동 823-6,58667,4611075700,하당동,4611015800,상동
봉암마트,경남 창원시 마산합포구 합포로 126-1 1층,경남 창원시 마산합포구 합포로 126-1 1층,128.5830803,35.2093201,정좌표,4.81251E+18,새주소,경상남도 창원시 마산합포구 합포로 126-1,경상남도 창원시 마산합포구 산호동 338-17,51723,4812564000,합포동,4812511800,산호동
우리들마트,부산 동래구 온천장로119번길 20 10호(온천동 온천아파트 점포),부산 동래구 온천장로119번길 20 10호(온천동 온천아파트 점포),129.0840007,35.221718,정좌표,2.62601E+18,새주소,부산광역시 동래구 온천장로119번길 20,부산광역시 동래구 온천동 150-4,47708,2626055000,온천1동,2626010800,온천동
플러스24,광주 광산구 장신로 143 109호 로또플러스24,광주 광산구 장신로 143 109호 로또플러스24,126.8258769,35.1910241,정좌표,2.92001E+18,새주소,광주광역시 광산구 장신로 143,광주광역시 광산구 수완동 1086,62247,2920063700,수완동,2920011400,수완동
GS25(영통번영점),경기 수원시 영통구 영통동 1038-1번지,경기 수원시 영통구 영통동 1038-1번지,127.076919,37.2538085,정좌표,4.11171E+18,구주소,경기도 수원시 영통구 청명남로 50,경기도 수원시 영통구 영통동 1038-1,16705,4111758500,영통3동,4111710500,영통동
CU(제천역점),충북 제천시 화산동 208-1번지,충북 제천시 화산동 208-1번지,128.2067587,37.1296983,정좌표,4.31501E+18,구주소,충청북도 제천시 내토로 446,충청북도 제천시 화산동 208-1,27196,4315060500,화산동,4315010900,화산동
신방복권,충남 천안시 동남구 신촌로 19 101호,충남 천안시 동남구 신촌로 19 101호,127.1215307,36.7886704,정좌표,4.41311E+18,새주소,충청남도 천안시 동남구 신촌로 19,충청남도 천안시 동남구 신방동 785-83,31177,4413157000,신방동,4413111600,신방동
우면점로또판매,서울 서초구 우면동 2-9번지,서울 서초구 우면동 2-9번지,127.0254419,37.4699142,정좌표,1.16501E+18,구주소,서울특별시 서초구 바우뫼로6길 8-4,서울특별시 서초구 우면동 2-9,6763,1165065100,양재1동,1165010300,우면동
공단마트로또점,경남 함안군 삼칠로 831 슈퍼 옆 1층,경남 함안군 삼칠로 831 슈퍼 옆 1층,128.4851855,35.3601431,정좌표,4.87304E+18,새주소,경상남도 함안군 칠서면 삼칠로 831,경상남도 함안군 칠서면 대치리 325-1,52009,4873035000,칠서면,4873035026,칠서면 대치리
삼성로또명당,인천 계양구 하느재로 14,인천 계양구 하느재로 14,126.7253357,37.5448884,정좌표,2.82451E+18,새주소,인천광역시 계양구 하느재로 14,인천광역시 계양구 계산동 926-27,21040,2824561200,계산2동,2824510200,계산동
영진슈퍼,경기 성남시 분당구 야탑동 353-1번지 영진다이비스117호,경기 성남시 분당구 야탑동 353-1번지 영진다이비스117호,127.1263611,37.4116476,정좌표,4.11351E+18,구주소,경기도 성남시 분당구 야탑로69번길 21,경기도 성남시 분당구 야탑동 353-1,13497,4113562000,야탑1동,4113510700,야탑동
GS25(안산신영점),경기 안산시 상록구 본오동 874-12번지 신영빌딩103호104호,경기 안산시 상록구 본오동 874-12번지 신영빌딩103호104호,126.8643963,37.3019433,정좌표,4.12711E+18,구주소,경기도 안산시 상록구 용신로 381,경기도 안산시 상록구 본오동 874-12,15532,4127156000,본오3동,4127110400,본오동
로또복권나라,전북 정읍시 연지동 315-15번지,전북 정읍시 연지동 315-15번지,126.8453465,35.5739944,정좌표,5.21801E+18,구주소,전북특별자치도 정읍시 연지시장2길 32,전북특별자치도 정읍시 연지동 315-15,56159,5218057000,연지동,5218010500,연지동
SKY정보통신,경북 청도군 청화로 140,경북 청도군 청화로 140,128.7414473,35.6445298,정좌표,4.78203E+18,새주소,경상북도 청도군 청도읍 청화로 140,경상북도 청도군 청도읍 고수리 478-153,38344,4782025300,청도읍,4782025321,청도읍 고수리
땡큐마트,대구 수성구 만촌1동 636-21번지,대구 수성구 만촌1동 636-21번지,128.6472139,35.8727671,정좌표,2.72601E+18,구주소,대구광역시 수성구 무열로 161,대구광역시 수성구 만촌동 636-21,42033,2726055000,만촌1동,2726010200,만촌동
GS25(둔산을지점),대전 서구 둔산동 1349번지,대전 서구 둔산동 1349번지,127.3806059,36.355017,정좌표,3.01701E+18,구주소,대전광역시 서구 둔산로51번길 84,대전광역시 서구 둔산동 1349,35233,3017064000,둔산2동,3017011200,둔산동
골든복권방,울산 남구 신정동 1647-2번지,울산 남구 신정동 1647-2번지,129.3028364,35.5357828,정좌표,3.11401E+18,구주소,울산광역시 남구 동산로 66,울산광역시 남구 신정동 1647-2,44657,3114052000,신정2동,3114010400,신정동
복권명당판매소,경북 의성군 안계면 용기리 851-29,경북 의성군 안계면 용기리 851-29,128.4347913,36.3862394,정좌표,4.77304E+18,구주소,경상북도 의성군 안계면 안계길 169-1,경상북도 의성군 안계면 용기리 851-29,37313,4773043000,안계면,4773043030,안계면 용기리
로또복권판매대,서울 서초구 반포동 54-7번지 e-b/d1층,서울 서초구 반포동 54-7번지 e-b/d1층,127.0099165,37.5010336,정좌표,1.16501E+18,구주소,서울특별시 서초구 서초중앙로33길 20,서울특별시 서초구 반포동 54-7,6593,1165058100,반포4동,1165010700,반포동
상우상사,경남 통영시 광도면 죽림리 1580-42번지 1층 CU편의점 內,경남 통영시 광도면 죽림리 1580-42번지 1층 CU편의점 內,128.4207239,34.8773496,정좌표,4.82203E+18,구주소,경상남도 통영시 광도면 죽림2로 76-55,경상남도 통영시 광도면 죽림리 1580-42,53016,4822034000,광도면,4822034024,광도면 죽림리
복권명당율하점,대구 동구 율하동로23길 37,대구 동구 율하동로23길 37,128.6980204,35.8701753,정좌표,2.71401E+18,새주소,대구광역시 동구 율하동로23길 37,대구광역시 동구 율하동 898-5,41120,2714072000,안심1동,2714011800,율하동
